data,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2021-08-01,20510,19716323.0,467,550480
2021-08-02,15033,19541665.0,389,548843
2021-08-03,37070,19443014.0,1202,544591
2021-08-04,40881,19610396.0,1178,549498
2021-08-05,58848,18557740.0,1041,523381
2021-08-06,49108,19493551.0,1062,548520
2021-08-07,43056,19795201.0,985,553941
2021-08-08,13979,19806241.0,402,553156
2021-08-09,12030,19664803.0,417,552678
2021-08-10,35003,19839502.0,1202,555959
2021-08-11,32555,19886874.0,989,557263
2021-08-12,40073,19725069.0,1145,554290
2021-08-13,34158,19783133.0,977,556085
2021-08-14,30854,20025755.0,932,559814
2021-08-15,13976,20230568.0,271,565587
2021-08-16,14551,19845273.0,444,556178
2021-08-17,38088,19513350.0,1159,547593
2021-08-18,41175,19606441.0,1062,545895
2021-08-19,36072,19978839.0,985,560579
2021-08-20,33786,20184007.0,888,564765
2021-08-21,28419,20176486.0,704,564800
2021-08-22,14375,20189555.0,323,564109
2021-08-23,13160,20167609.0,330,563223
2021-08-24,31245,19655200.0,880,548722
2021-08-25,30453,19876701.0,910,556180
2021-08-26,30817,20016351.0,920,559743
2021-08-27,27471,20238751.0,769,566509
2021-08-28,24523,20117189.0,694,561497
2021-08-29,13062,20242691.0,311,564978
2021-08-30,25458,20021554.0,294,557864
2021-08-31,39452,19945851.0,844,558262
2021-09-01,28455,19663390.0,760,547706
2021-09-02,26439,20093264.0,766,561587
2021-09-03,25753,19963367.0,783,555843
2021-09-04,21923,19951022.0,686,557659
2021-09-05,13034,20393267.0,250,568807
2021-09-06,9480,20340600.0,174,567457
2021-09-07,15162,20154058.0,383,561142
2021-09-08,14539,20438180.0,253,570783
2021-09-09,30407,19948593.0,748,562956
2021-09-10,16459,19948397.0,677,560683
2021-09-11,14522,20369982.0,718,572630
2021-09-12,8596,20529206.0,298,575358
2021-09-13,7164,20080938.0,206,565576
2021-09-14,14190,20149265.0,730,567091
2021-09-15,16524,20118937.0,791,565311
2021-09-16,42896,18941045.0,647,522750
2021-09-17,11916,20143782.0,343,567332
2021-09-18,150512,20834226.0,941,581039
2021-09-19,9655,20782596.0,247,575852
2021-09-20,7846,20861688.0,220,579758
2021-09-21,12981,19530164.0,486,545407
2021-09-22,37868,19817822.0,870,548397
2021-09-23,25289,20362541.0,650,564323
2021-09-24,20200,19952302.0,694,556030
2021-09-25,16059,20244172.0,531,564705
2021-09-26,8755,20988884.0,249,585654
2021-09-27,14575,20907707.0,211,582413
2021-09-28,15939,20455133.0,789,570729
2021-09-29,18508,19972981.0,665,559915
2021-09-30,25334,20150827.0,614,555455
2021-10-01,18615,20538561.0,555,572400
2021-10-02,13658,20706557.0,472,578617
2021-10-03,9053,21119852.0,227,586274
2021-10-04,10485,20913231.0,221,578783
2021-10-05,21308,20975523.0,676,584698
2021-10-06,32798,20610041.0,539,574932
2021-10-07,31718,20182518.0,446,561857
2021-10-08,19081,20623102.0,597,574542
2021-10-09,17290,20744831.0,411,579074
2021-10-10,8664,20880112.0,218,578222
2021-10-11,6862,20509036.0,206,567427
2021-10-12,8860,18267354.0,161,485710
2021-10-13,7839,21124209.0,174,589791
2021-10-14,14571,20518904.0,519,574188
2021-10-15,15273,19843413.0,585,541423
2021-10-16,11747,20635361.0,472,574191
2021-10-17,6495,19373091.0,131,526404
2021-10-18,7535,21031510.0,184,582841
2021-10-19,16011,19848273.0,347,529837
2021-10-20,16110,20273200.0,366,565841
2021-10-21,17104,20924798.0,449,582939
2021-10-22,15149,20131287.0,460,562415
2021-10-23,11775,20651354.0,328,577693
2021-10-24,6870,20722803.0,188,578612
2021-10-25,5795,21283077.0,162,590336
2021-10-26,14075,20704369.0,433,577752
2021-10-27,16866,20137076.0,474,557464
2021-10-28,15636,20286789.0,454,561874
2021-10-29,12181,21016987.0,400,586713
2021-10-30,10783,20744694.0,237,574517
2021-10-31,6785,21386156.0,135,598296
2021-11-01,3872,21431145.0,98,594962
2021-11-02,6464,21408056.0,148,595718
2021-11-03,14834,20947575.0,165,579372
2021-11-04,28419,20961495.0,547,583124
2021-11-05,28342,20298403.0,519,561929
2021-11-06,11938,20996575.0,326,583213
2021-11-07,6350,21594733.0,61,597479
2021-11-08,5703,21526201.0,126,599865
2021-11-09,11139,20789904.0,188,575239
2021-11-10,12706,20358704.0,283,564293
2021-11-11,16019,20909068.0,208,580537
2021-11-12,17190,21162043.0,262,592481
2021-11-13,15286,20988353.0,729,584180
2021-11-14,4323,21285619.0,63,589664
2021-11-15,3068,21279811.0,63,591000
2021-11-16,5015,21016861.0,133,585371
2021-11-17,12239,20544370.0,371,572489
2021-11-18,12855,20691408.0,311,571999
2021-11-19,13511,20046791.0,248,554643
2021-11-20,9045,20649206.0,218,574292
2021-11-21,5163,21344081.0,73,591533
2021-11-22,3171,20664856.0,123,573091
2021-11-23,142126,20828778.0,297,575517
2021-11-24,144875,20926011.0,411,583632
2021-11-25,12237,20886305.0,308,578803
2021-11-26,12560,20592175.0,451,569770
2021-11-27,9339,21143567.0,239,585851
2021-11-28,4059,21787048.0,92,605900
2021-11-29,3906,21632767.0,103,603532
2021-11-30,9915,21016597.0,307,581740
2021-12-01,12102,20650931.0,295,574548
2021-12-02,13053,20714503.0,376,573244
2021-12-03,10881,21018490.0,232,580566
2021-12-04,9708,20892667.0,302,574744
2021-12-05,4871,21598350.0,207,600010
2021-12-06,4390,21382169.0,243,593284
2021-12-07,10664,21050091.0,408,584537
2021-12-08,10335,21153542.0,375,585723
2021-12-09,9066,20525246.0,360,566368
2021-12-10,8159,20917861.0,236,581040
2021-12-11,3109,21565140.0,194,596583
2021-12-12,1742,21619078.0,220,597200
2021-12-13,2054,21888083.0,180,606855
2021-12-14,3878,21973044.0,91,611665
2021-12-15,5471,21295727.0,323,589036
2021-12-16,3727,22019573.0,131,612328
2021-12-17,4092,21736943.0,206,602087
2021-12-18,3277,21239197.0,160,585105
2021-12-19,1470,20600473.0,51,553781
2021-12-20,2077,21753227.0,203,604138
2021-12-21,3602,21673141.0,213,603368
2021-12-22,3426,21249608.0,170,587979
2021-12-23,3616,21099973.0,153,576579
2021-12-24,4057,21093337.0,182,582738
2021-12-25,3915,21794992.0,34,603255
2021-12-26,4740,20906347.0,26,567294
2021-12-27,6846,22026293.0,84,613001
2021-12-28,8519,20939069.0,181,559361
2021-12-29,9207,21866000.0,115,607064
2021-12-30,13690,21620264.0,303,600657
2021-12-31,10724,21396454.0,78,593912
2022-01-01,4223,21717391.0,54,598449
2022-01-02,1703,21983832.0,28,609109
2022-01-03,11744,21423391.0,214,592663
2022-01-04,18514,21087851.0,321,580572
2022-01-05,24939,20129507.0,305,533597
2022-01-06,35894,21740334.0,135,599173
2022-01-07,61712,21612991.0,187,597439
2022-01-08,49076,22008285.0,117,606852
2022-01-09,24139,21941923.0,51,605167
2022-01-10,34934,22181401.0,244,610261
2022-01-11,70878,22005744.0,285,600987
2022-01-12,87269,22309903.0,139,606209
